feature_name,source_column_or_source_group,feature_origin,feature_type,system_layer,temporal_relation_to_target,output_role,allowed_model_input,official_baseline_status,included_in_minimal_baseline,included_in_extended_baseline,leakage_risk,present_in_loaded_dataset,justification,notes
projected_stock_after_lead_time_tons,projected_stock_after_lead_time_tons,derived,numerical,engineered_feature,current_t_context,input_or_diagnostic,no,drop,no,no,low,yes,"Available in the dataset, but excluded from the official baseline and review pool.",
purchase_price_index,purchase_price_index,external_proxy,numerical,external_proxy_upstream,current_t_context,input_or_diagnostic,no,drop,no,no,low,yes,Excluded from the official baseline feature sets.,
purchase_price_index_lag_1,purchase_price_index,autoregressive,derived,external_proxy_upstream,historical_lag,input_or_diagnostic,no,drop,no,no,low,no,Excluded from the official baseline feature sets.,Not present in the loaded notebook dataset.
purchase_price_index_lag_2,purchase_price_index,autoregressive,derived,external_proxy_upstream,historical_lag,input_or_diagnostic,no,drop,no,no,low,no,Excluded from the official baseline feature sets.,Not present in the loaded notebook dataset.
purchase_price_index_lag_4,purchase_price_index,autoregressive,derived,external_proxy_upstream,historical_lag,input_or_diagnostic,no,drop,no,no,low,no,Excluded from the official baseline feature sets.,Not present in the loaded notebook dataset.
purchase_price_index_lag_8,purchase_price_index,autoregressive,derived,external_proxy_upstream,historical_lag,input_or_diagnostic,no,drop,no,no,low,no,Excluded from the official baseline feature sets.,Not present in the loaded notebook dataset.
purchase_price_index_roll_mean_12,purchase_price_index,autoregressive,derived,external_proxy_upstream,historical_rolling,input_or_diagnostic,no,drop,no,no,low,no,Excluded from the official baseline feature sets.,Not present in the loaded notebook dataset.
purchase_price_index_roll_mean_4,purchase_price_index,autoregressive,derived,external_proxy_upstream,historical_rolling,input_or_diagnostic,no,drop,no,no,low,no,Excluded from the official baseline feature sets.,Not present in the loaded notebook dataset.
purchase_trigger_gap_tons,purchase_trigger_gap_tons,derived,numerical,engineered_feature,current_t_context,input_or_diagnostic,no,drop,no,no,low,yes,"Available in the dataset, but excluded from the official baseline and review pool.",
purchase_trigger_label,purchase_trigger_label,derived,numerical,engineered_feature,current_t_context,input_or_diagnostic,no,drop,no,no,low,yes,"Available in the dataset, but excluded from the official baseline and review pool.",
purchase_trigger_proba_heuristic,purchase_trigger_proba_heuristic,derived,numerical,engineered_feature,current_t_context,input_or_diagnostic,no,drop,no,no,low,yes,"Available in the dataset, but excluded from the official baseline and review pool.",
quantity_optimizer_target_tons,quantity_optimizer_target_tons,derived,numerical,engineered_feature,current_t_context,input_or_diagnostic,no,drop,no,no,low,yes,"Available in the dataset, but excluded from the official baseline and review pool.",
raw_material_id,raw_material_id,derived,categorical,engineered_feature,current_t_context,input_or_diagnostic,no,drop,no,no,low,yes,"Available in the dataset, but excluded from the official baseline and review pool.",
raw_material_id__rm_cooked_emulsion,raw_material_id,derived,numerical,engineered_feature,current_t_context,input_or_diagnostic,no,drop,no,no,low,yes,"Available in the dataset, but excluded from the official baseline and review pool.",
raw_material_id__rm_cured_embutido,raw_material_id,derived,numerical,engineered_feature,current_t_context,input_or_diagnostic,no,drop,no,no,low,yes,"Available in the dataset, but excluded from the official baseline and review pool.",
raw_material_id__rm_fresh_preparation,raw_material_id,derived,numerical,engineered_feature,current_t_context,input_or_diagnostic,no,drop,no,no,low,yes,"Available in the dataset, but excluded from the official baseline and review pool.",
recipe_profile,recipe_profile,manufacturing_context,categorical_context,manufacturing_context,current_t_context,input_or_diagnostic,no,drop,no,no,low,yes,Excluded from the official baseline feature sets.,
recipe_profile__fermented_dry_spiced,recipe_profile,manufacturing_context,categorical_context,manufacturing_context,current_t_context,input_or_diagnostic,no,drop,no,no,low,yes,"Available in the dataset, but excluded from the official baseline and review pool.",
recipe_profile__high_throughput_standard,recipe_profile,manufacturing_context,categorical_context,manufacturing_context,current_t_context,input_or_diagnostic,no,drop,no,no,low,yes,"Available in the dataset, but excluded from the official baseline and review pool.",
recipe_profile__marinated_short_run,recipe_profile,manufacturing_context,categorical_context,manufacturing_context,current_t_context,input_or_diagnostic,no,drop,no,no,low,yes,"Available in the dataset, but excluded from the official baseline and review pool.",
replenishment_gap_tons,replenishment_gap_tons,derived,numerical,engineered_feature,current_t_context,input_or_diagnostic,no,drop,no,no,low,yes,"Available in the dataset, but excluded from the official baseline and review pool.",
safety_coverage_days,safety_coverage_days,derived,numerical,engineered_feature,current_t_context,input_or_diagnostic,no,drop,no,no,low,yes,"Available in the dataset, but excluded from the official baseline and review pool.",
safety_stock_tons,safety_stock_tons,derived,numerical,engineered_feature,current_t_context,input_or_diagnostic,no,drop,no,no,low,yes,"Available in the dataset, but excluded from the official baseline and review pool.",
shelf_life_class,shelf_life_class,manufacturing_context,categorical_context,manufacturing_context,current_t_context,input_or_diagnostic,no,drop,no,no,low,yes,"Available in the dataset, but excluded from the official baseline and review pool.",
shelf_life_days,shelf_life_days,derived,numerical,engineered_feature,current_t_context,input_or_diagnostic,no,drop,no,no,low,yes,"Available in the dataset, but excluded from the official baseline and review pool.",
supply_index_lag_2,supply_index,autoregressive,derived,external_proxy_upstream,historical_lag,input_or_diagnostic,no,drop,no,no,low,yes,"Available in the dataset, but excluded from the official baseline and review pool.",
supply_index_lag_4,supply_index,autoregressive,derived,external_proxy_upstream,historical_lag,input_or_diagnostic,no,drop,no,no,low,yes,"Available in the dataset, but excluded from the official baseline and review pool.",
supply_index_lag_8,supply_index,autoregressive,derived,external_proxy_upstream,historical_lag,input_or_diagnostic,no,drop,no,no,low,yes,"Available in the dataset, but excluded from the official baseline and review pool.",
supply_index_roll_mean_12,supply_index,autoregressive,derived,external_proxy_upstream,historical_rolling,input_or_diagnostic,no,drop,no,no,low,yes,"Available in the dataset, but excluded from the official baseline and review pool.",
synthetic_inventory_coverage_days_lag_2,synthetic_inventory_coverage_days,autoregressive,derived,synthetic_operational_state,historical_lag,input_or_diagnostic,no,drop,no,no,low,yes,"Available in the dataset, but excluded from the official baseline and review pool.",
synthetic_inventory_coverage_days_lag_4,synthetic_inventory_coverage_days,autoregressive,derived,synthetic_operational_state,historical_lag,input_or_diagnostic,no,drop,no,no,low,yes,"Available in the dataset, but excluded from the official baseline and review pool.",
synthetic_inventory_coverage_days_lag_8,synthetic_inventory_coverage_days,autoregressive,derived,synthetic_operational_state,historical_lag,input_or_diagnostic,no,drop,no,no,low,yes,"Available in the dataset, but excluded from the official baseline and review pool.",
synthetic_inventory_coverage_days_roll_mean_12,synthetic_inventory_coverage_days,autoregressive,derived,synthetic_operational_state,historical_rolling,input_or_diagnostic,no,drop,no,no,low,yes,"Available in the dataset, but excluded from the official baseline and review pool.",
synthetic_inventory_level,synthetic_inventory_level,synthetic_internal,numerical,synthetic_operational_state,current_t_context,input_or_diagnostic,no,drop,no,no,low,yes,Excluded from the official baseline feature sets.,
synthetic_inventory_level_lag_1,synthetic_inventory_level,autoregressive,derived,synthetic_operational_state,historical_lag,input_or_diagnostic,no,drop,no,no,low,no,Excluded from the official baseline feature sets.,Not present in the loaded notebook dataset.
synthetic_inventory_level_lag_2,synthetic_inventory_level,autoregressive,derived,synthetic_operational_state,historical_lag,input_or_diagnostic,no,drop,no,no,low,no,Excluded from the official baseline feature sets.,Not present in the loaded notebook dataset.
synthetic_inventory_level_lag_4,synthetic_inventory_level,autoregressive,derived,synthetic_operational_state,historical_lag,input_or_diagnostic,no,drop,no,no,low,no,Excluded from the official baseline feature sets.,Not present in the loaded notebook dataset.
synthetic_inventory_level_lag_8,synthetic_inventory_level,autoregressive,derived,synthetic_operational_state,historical_lag,input_or_diagnostic,no,drop,no,no,low,no,Excluded from the official baseline feature sets.,Not present in the loaded notebook dataset.
synthetic_inventory_level_roll_mean_12,synthetic_inventory_level,autoregressive,derived,synthetic_operational_state,historical_rolling,input_or_diagnostic,no,drop,no,no,low,no,Excluded from the official baseline feature sets.,Not present in the loaded notebook dataset.
synthetic_inventory_level_roll_mean_4,synthetic_inventory_level,autoregressive,derived,synthetic_operational_state,historical_rolling,input_or_diagnostic,no,drop,no,no,low,no,Excluded from the official baseline feature sets.,Not present in the loaded notebook dataset.
synthetic_lead_time_days_lag_2,synthetic_lead_time_days,autoregressive,derived,synthetic_operational_state,historical_lag,input_or_diagnostic,no,drop,no,no,low,yes,"Available in the dataset, but excluded from the official baseline and review pool.",
synthetic_lead_time_days_lag_4,synthetic_lead_time_days,autoregressive,derived,synthetic_operational_state,historical_lag,input_or_diagnostic,no,drop,no,no,low,yes,"Available in the dataset, but excluded from the official baseline and review pool.",
synthetic_lead_time_days_lag_8,synthetic_lead_time_days,autoregressive,derived,synthetic_operational_state,historical_lag,input_or_diagnostic,no,drop,no,no,low,yes,"Available in the dataset, but excluded from the official baseline and review pool.",
synthetic_lead_time_days_roll_mean_12,synthetic_lead_time_days,autoregressive,derived,synthetic_operational_state,historical_rolling,input_or_diagnostic,no,drop,no,no,low,yes,"Available in the dataset, but excluded from the official baseline and review pool.",
synthetic_planned_orders,synthetic_planned_orders,synthetic_internal,numerical,synthetic_operational_state,current_t_context,input_or_diagnostic,no,drop,no,no,low,yes,Excluded from the official baseline feature sets.,
synthetic_planned_orders_lag_1,synthetic_planned_orders,autoregressive,derived,synthetic_operational_state,historical_lag,input_or_diagnostic,no,drop,no,no,low,no,Excluded from the official baseline feature sets.,Not present in the loaded notebook dataset.
synthetic_planned_orders_lag_2,synthetic_planned_orders,autoregressive,derived,synthetic_operational_state,historical_lag,input_or_diagnostic,no,drop,no,no,low,no,Excluded from the official baseline feature sets.,Not present in the loaded notebook dataset.
synthetic_planned_orders_lag_4,synthetic_planned_orders,autoregressive,derived,synthetic_operational_state,historical_lag,input_or_diagnostic,no,drop,no,no,low,no,Excluded from the official baseline feature sets.,Not present in the loaded notebook dataset.
synthetic_planned_orders_lag_8,synthetic_planned_orders,autoregressive,derived,synthetic_operational_state,historical_lag,input_or_diagnostic,no,drop,no,no,low,no,Excluded from the official baseline feature sets.,Not present in the loaded notebook dataset.
synthetic_planned_orders_roll_mean_12,synthetic_planned_orders,autoregressive,derived,synthetic_operational_state,historical_rolling,input_or_diagnostic,no,drop,no,no,low,no,Excluded from the official baseline feature sets.,Not present in the loaded notebook dataset.
synthetic_planned_orders_roll_mean_4,synthetic_planned_orders,autoregressive,derived,synthetic_operational_state,historical_rolling,input_or_diagnostic,no,drop,no,no,low,no,Excluded from the official baseline feature sets.,Not present in the loaded notebook dataset.
synthetic_procurement_need,synthetic_procurement_need,synthetic_internal,numerical,target_supervision,W_plus_1_supervision,predictive_target,no,drop,no,no,high_target_column,yes,Excluded from the official baseline feature sets.,
synthetic_procurement_need_coverage_gap,synthetic_procurement_need_coverage,derived_ratio_gap,derived,target_like_diagnostic,current_t_context,input_or_diagnostic,no,drop,no,no,high_target_family,yes,Excluded from the official baseline feature sets.,
synthetic_procurement_need_hybrid,synthetic_procurement_need_hybrid,synthetic_internal,numerical,target_like_diagnostic,current_t_context,input_or_diagnostic,no,drop,no,no,high_target_family,yes,Excluded from the official baseline feature sets.,
synthetic_procurement_need_lag_1,synthetic_procurement_need,autoregressive,derived,target_like_diagnostic,historical_lag,input_or_diagnostic,no,drop,no,no,high_target_family,no,Excluded from the official baseline feature sets.,Not present in the loaded notebook dataset.
synthetic_procurement_need_lag_2,synthetic_procurement_need,autoregressive,derived,target_like_diagnostic,historical_lag,input_or_diagnostic,no,drop,no,no,high_target_family,no,Excluded from the official baseline feature sets.,Not present in the loaded notebook dataset.
