campaign,week,price_white,price_red,source_url,scraped_at
2023/2024,17,50.69,43.23,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/172024boletinpreciosdelvinodel22al28deabril.pdf,2025-12-10T09:45:16.422867
2023/2024,18,50.1,43.04,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/182024boletinpreciosdelvinodel29deabrilal5demayo.pdf,2025-12-10T09:45:14.970264
2023/2024,19,48.98,43.02,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/192024boletinpreciosdelvinodel6al12demayo.pdf,2025-12-10T09:45:13.496636
2023/2024,20,53.17,43.53,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/202024boletinpreciosdelvinodel13al19demayo.pdf,2025-12-10T09:45:12.045612
2023/2024,21,48.8,41.71,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/212024boletinpreciosdelvinodel20al26demayo.pdf,2025-12-10T09:45:10.563515
2023/2024,22,48.91,42.16,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/222024boletinpreciosdelvinodel27demayoal2dejunio.pdf,2025-12-10T09:45:09.112183
2023/2024,23,50.16,43.92,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/232024boletinpreciosdelvinodel3al9dejunio.pdf,2025-12-10T09:45:07.608054
2023/2024,24,49.06,44.07,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/242024boletinpreciosdelvinodel10al16dejunio.pdf,2025-12-10T09:45:06.171198
2023/2024,25,50.0,43.2,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/252024boletinpreciosdelvinodel17al23dejunio.pdf,2025-12-10T09:45:04.675777
2023/2024,26,47.51,45.66,https://www.mapa.gob.es/dam/mapa/contenido/agricultura/temas/producciones-agricolas/vitivinicultura/boletines-semanales-precio-del-vino/campana-2023-2024/262024boletinpreciosdelvinodel24al30dejunio.pdf,2025-12-10T09:45:03.165393
