date,BIENES DE INVERSION   (INPUT II),CONS. Y REP. EDIFICIOS,CONS. Y REP. MAQUINARIA,ENERGIA Y LUBRICANTES,ENERGIA Y LUBRICANTES CARBURANTES,ENERGIA Y LUBRICANTES ELECTRICIDAD,ENERGIA Y LUBRICANTES LUBRICANTES,GASTOS GENERALES,MAQUINARIA Y OTROS BIENES DE EQUIPO,MATERIAL Y PEQUEÑO UTILLAJE,OBRAS DE INVERSION,PROTECCION FITOPATOLOGICA,TRATAMIENTOS ZOOSANITARIOS
2016-12-01,99.98,98.67,104.05,99.65,95.42,104.55,98.45,100.58,101.72,100.51,98.69,100.44,100.22
2017-01-01,99.21,98.17,104.76,104.36,96.35,113.97,98.58,101.96,100.58,101.41,98.18,100.05,101.12
2017-02-01,99.5,98.65,105.03,98.84,97.27,100.62,98.89,100.93,100.57,101.4,98.7,100.31,101.32
2017-03-01,99.69,99.02,105.4,95.15,96.6,93.22,98.35,100.12,100.58,101.36,99.01,100.5,101.63
2017-04-01,99.4,99.05,105.64,94.42,95.18,93.22,98.35,100.78,100.12,101.15,98.86,100.65,101.73
2017-05-01,99.6,99.37,105.86,92.38,94.44,89.5,98.45,100.16,100.16,101.23,99.17,100.88,102.13
2017-06-01,99.71,99.53,106.17,91.63,92.02,90.58,98.5,100.24,100.2,101.35,99.33,100.89,101.73
2017-07-01,100.42,100.45,106.26,91.43,92.28,89.86,98.42,100.58,100.59,101.52,100.29,101.27,101.93
2017-08-01,100.44,100.45,106.22,92.78,95.14,89.6,98.46,101.19,100.63,101.54,100.3,101.05,101.83
2017-09-01,100.41,100.4,106.26,95.32,93.78,96.79,98.51,101.03,100.64,101.59,100.23,101.01,101.93
2017-10-01,101.39,100.38,106.27,98.57,94.25,103.47,98.63,101.38,102.91,101.8,100.26,101.42,101.83
2017-11-01,101.39,100.37,106.24,101.2,96.26,106.98,99.22,101.89,102.92,101.61,100.25,101.39,101.83
2017-12-01,101.68,100.94,106.69,104.74,98.86,111.9,99.23,102.24,102.94,101.73,100.74,101.59,101.83
2018-01-01,100.14,100.14,106.47,107.88,102.54,114.69,99.32,102.17,100.08,102.0,100.19,102.09,102.13
2018-02-01,100.12,100.47,106.79,108.71,101.61,117.59,99.3,102.4,100.07,101.61,100.15,102.46,102.23
2018-03-01,100.38,100.8,106.69,98.54,104.47,91.72,99.43,102.24,100.24,101.8,100.49,102.86,102.11
2018-04-01,100.67,101.07,107.42,101.97,106.33,97.21,99.89,101.69,100.56,101.66,100.74,102.42,102.13
2018-05-01,101.0,101.49,107.48,107.07,109.48,104.97,99.74,103.94,100.86,101.97,101.1,102.41,102.09
2018-06-01,101.06,101.52,107.24,109.05,111.67,106.88,99.88,104.56,100.94,102.01,101.15,102.64,102.25
2018-07-01,102.65,102.03,107.44,110.9,112.3,110.24,100.27,105.24,103.97,102.05,101.66,102.45,102.21
2018-08-01,102.73,102.1,107.11,113.52,113.66,114.54,100.16,105.74,104.05,101.78,101.73,101.93,102.26
2018-09-01,102.81,102.16,107.17,114.88,114.39,116.71,100.5,105.98,104.15,101.64,101.8,101.66,102.38
2018-10-01,103.82,102.88,107.25,114.38,118.51,110.92,100.46,106.06,105.47,102.22,102.58,101.86,102.44
2018-11-01,103.82,102.92,107.27,113.07,117.09,109.67,99.96,105.05,105.47,102.06,102.58,101.73,102.67
2018-12-01,103.84,102.94,107.3,110.02,109.73,111.23,99.93,103.83,105.49,102.23,102.61,101.75,102.65
2019-01-01,104.22,103.84,107.58,109.98,110.69,110.14,99.14,103.59,105.32,102.42,103.4,101.71,102.95
2019-02-01,104.23,103.79,107.37,108.06,112.75,103.52,99.18,104.03,105.33,102.66,103.4,101.85,103.06
2019-03-01,104.23,103.51,107.4,107.09,115.43,98.34,99.02,104.36,105.34,102.64,103.4,101.85,102.95
2019-04-01,103.9,103.72,107.38,108.51,117.36,99.33,98.7,105.23,104.46,103.01,103.48,102.08,104.3
2019-05-01,103.93,103.77,107.16,107.19,117.8,95.86,99.11,105.24,104.52,102.82,103.48,102.27,104.32
2019-06-01,103.97,103.73,107.16,105.2,116.02,93.43,99.34,104.54,104.63,102.81,103.48,102.28,103.38
2019-07-01,105.19,104.59,107.05,106.53,115.27,97.21,99.69,105.31,106.69,102.66,104.06,102.07,103.48
2019-08-01,105.19,104.11,106.91,103.42,114.34,91.36,99.56,105.01,106.69,102.57,104.06,102.13,103.37
2019-09-01,105.21,104.07,107.25,102.56,115.08,88.62,99.4,104.46,106.74,102.64,104.06,102.21,103.4
2019-10-01,105.57,103.7,107.32,105.07,115.87,93.33,99.13,104.51,109.01,102.59,102.98,102.21,103.41
2019-11-01,105.57,103.69,108.14,104.31,116.43,91.0,99.2,104.09,109.01,103.05,102.98,102.05,103.57
2019-12-01,105.54,103.29,108.47,101.01,115.98,84.17,99.29,104.14,108.96,103.99,102.98,101.94,103.38
2020-01-01,104.94,103.25,109.06,103.56,116.54,89.19,99.4,104.55,107.78,104.1,102.81,101.9,103.47
2020-02-01,104.86,102.71,112.39,98.54,111.88,83.39,98.67,103.85,107.84,104.17,102.62,102.3,103.56
2020-03-01,104.97,102.65,112.9,89.7,99.92,77.34,98.2,101.77,107.84,103.48,102.81,102.34,103.91
2020-04-01,105.49,102.84,114.6,81.32,90.41,69.58,97.46,99.75,108.4,103.4,103.3,102.43,103.81
2020-05-01,105.55,104.63,115.55,77.5,81.09,71.65,97.72,99.51,108.56,103.32,103.3,102.57,103.8
2020-06-01,105.55,102.61,117.06,80.49,83.0,76.1,97.98,101.1,108.56,103.53,103.3,102.65,103.84
2020-07-01,104.33,100.98,118.3,81.24,87.1,73.1,98.15,101.68,109.47,103.39,100.47,102.6,103.86
2020-08-01,104.35,100.48,118.96,82.57,88.42,74.55,98.29,101.82,109.53,103.18,100.47,102.73,104.14
2020-09-01,104.33,100.52,119.25,84.9,89.7,78.27,98.36,101.63,109.47,103.16,100.47,102.82,104.11
2020-10-01,104.27,102.1,119.35,81.99,86.08,75.89,98.45,100.59,109.62,102.97,100.25,103.07,104.19
2020-11-01,104.26,102.0,119.46,84.91,87.79,80.44,98.65,100.77,109.61,103.04,100.25,102.97,104.07
2020-12-01,104.29,102.24,119.82,87.07,91.71,80.76,98.78,101.91,109.67,103.19,100.25,103.06,104.15
2021-01-01,107.54,103.28,120.38,95.39,95.17,95.29,99.28,104.29,112.83,103.57,103.58,103.47,104.55
2021-02-01,107.55,103.35,120.58,87.62,100.85,71.5,100.23,102.58,112.84,103.16,103.58,103.61,104.99
2021-03-01,107.53,103.96,120.89,94.62,103.79,83.65,101.09,104.65,112.8,103.96,103.58,103.89,105.13
2021-04-01,107.31,104.87,120.84,100.13,103.46,96.17,102.27,106.23,109.12,104.49,105.95,104.23,105.16
2021-05-01,107.35,106.34,121.07,101.14,104.53,97.15,102.72,106.95,109.21,105.12,105.95,105.2,105.21
2021-06-01,107.37,107.32,121.49,102.95,108.32,96.95,101.77,108.55,109.26,106.68,105.95,105.08,105.15
2021-07-01,110.39,107.97,121.4,107.31,111.7,102.74,102.74,108.86,111.24,108.17,109.75,106.09,105.13
2021-08-01,110.44,109.91,121.21,113.17,112.64,114.64,103.22,109.98,111.35,109.42,109.75,106.88,105.07
2021-09-01,110.48,111.32,121.44,126.87,117.74,139.11,105.59,111.76,111.46,110.31,109.75,108.04,105.14
2021-10-01,113.99,113.07,121.78,142.61,124.44,166.17,109.43,114.32,115.1,111.49,113.16,110.45,105.11
2021-11-01,114.03,113.76,122.08,142.5,126.46,163.58,109.99,113.55,115.2,112.14,113.16,112.84,105.2
2021-12-01,114.11,114.45,122.49,159.42,126.17,201.5,110.3,116.47,115.37,112.7,113.16,115.08,105.26
2022-01-01,115.05,108.79,123.02,157.26,131.57,190.38,112.38,117.27,115.04,113.7,115.06,118.44,106.09
2022-02-01,115.1,109.4,123.86,162.92,145.81,186.6,114.54,119.03,115.15,114.59,115.06,122.4,106.48
2022-03-01,115.21,110.14,124.66,210.04,183.73,248.16,116.52,128.17,115.42,115.86,115.06,124.65,106.58
2022-04-01,117.5,112.09,125.18,178.35,187.17,173.72,117.19,120.94,114.86,118.94,119.49,125.75,106.7
2022-05-01,117.7,113.25,125.51,180.61,195.34,169.37,118.48,122.1,115.32,119.85,119.49,128.03,106.95
2022-06-01,117.89,115.56,126.17,195.91,210.36,186.29,118.85,127.02,115.75,122.13,119.49,129.28,107.02
2022-07-01,124.72,120.55,126.53,202.85,207.5,204.91,119.56,127.85,118.4,124.03,129.47,130.11,107.01
2022-08-01,124.89,122.96,126.67,214.54,197.93,241.8,119.19,127.91,118.79,125.09,129.47,130.3,107.6
2022-09-01,124.95,122.68,126.81,190.82,196.22,191.05,118.61,123.87,118.92,124.79,129.47,131.84,107.76
2022-10-01,126.29,120.03,126.85,174.71,203.36,147.08,119.22,120.72,123.72,124.62,128.22,132.77,107.81
2022-11-01,126.36,120.06,127.21,162.18,199.35,123.69,120.1,118.22,123.89,125.09,128.22,132.28,107.91
2022-12-01,126.41,119.8,128.1,159.62,185.64,133.63,119.28,116.02,124.0,124.86,128.22,131.84,107.38
2023-01-01,127.7,120.79,129.47,140.24,185.44,90.84,118.66,116.14,128.67,124.66,126.98,131.81,108.53
2023-02-01,127.73,119.59,133.34,155.54,182.69,128.09,117.29,117.55,128.72,123.81,126.98,131.86,109.32
2023-03-01,127.82,118.68,133.85,138.52,175.3,98.65,117.25,116.38,128.95,123.87,126.98,132.03,109.17
2023-04-01,127.62,120.82,134.02,129.95,167.29,88.77,116.35,116.12,127.74,123.83,127.53,130.99,109.5
2023-05-01,127.81,121.06,133.82,123.84,157.18,86.76,115.26,115.03,128.18,123.66,127.53,130.23,109.91
2023-06-01,128.65,121.49,133.45,127.95,156.09,97.15,114.96,116.21,128.24,123.42,128.96,129.83,109.41
2023-07-01,129.86,121.46,133.6,128.66,157.95,96.64,114.7,117.54,129.81,123.44,129.9,129.58,109.6
2023-08-01,129.93,122.31,133.36,134.61,167.65,98.81,115.13,119.17,129.97,123.67,129.9,128.75,109.43
2023-09-01,129.98,121.84,133.36,141.86,177.49,103.72,115.6,119.8,130.08,123.31,129.9,128.35,109.53
2023-10-01,130.88,120.98,133.41,140.96,180.32,98.55,115.11,118.74,134.64,122.75,128.06,128.62,109.83
2023-11-01,130.88,120.32,133.55,130.07,172.07,83.76,114.44,116.47,134.64,122.49,128.06,128.87,109.69
2023-12-01,130.88,120.22,133.66,127.73,163.23,88.62,114.13,116.06,134.65,121.86,128.06,128.47,109.45
