week_start,EUR_USD
2009-01-26,1.319191575050354
2009-02-02,1.2814927101135254
2009-02-09,1.2959076166152954
2009-02-16,1.2799016237258911
2009-02-23,1.267812728881836
2009-03-02,1.256407618522644
2009-03-09,1.2622755765914917
2009-03-16,1.2976058721542358
2009-03-23,1.3620452880859375
2009-03-30,1.318617582321167
2009-04-06,1.340572476387024
2009-04-13,1.3363981246948242
2009-04-20,1.2928917407989502
2009-04-27,1.3018969297409058
2009-05-04,1.3418675661087036
2009-05-11,1.358991026878357
2009-05-18,1.3558034896850586
2009-05-25,1.4006974697113037
2009-06-01,1.4163904190063477
2009-06-08,1.3902984857559204
2009-06-15,1.3784927129745483
2009-06-22,1.386520266532898
2009-06-29,1.408609390258789
2009-07-06,1.3977022171020508
2009-07-13,1.3990123271942139
2009-07-20,1.421181321144104
2009-07-27,1.4247043132781982
2009-08-03,1.4411921501159668
2009-08-10,1.413107991218567
2009-08-17,1.4105963706970215
2009-08-24,1.4293065071105957
2009-08-31,1.434267520904541
2009-09-07,1.4331985712051392
2009-09-14,1.4643217325210571
2009-09-21,1.468407154083252
2009-09-28,1.462159276008606
2009-10-05,1.465996265411377
2009-10-12,1.4792898893356323
2009-10-19,1.496490716934204
2009-10-26,1.4861712455749512
2009-11-02,1.4774104356765747
2009-11-09,1.5008028745651245
2009-11-16,1.498374342918396
2009-11-23,1.496199607849121
2009-11-30,1.5038950443267822
2009-12-07,1.4841198921203613
2009-12-14,1.4656953811645508
2009-12-21,1.428673505783081
2009-12-28,1.437504529953003
2010-01-04,1.4423978328704834
2010-01-11,1.4511260986328125
2010-01-18,1.4406731128692627
2010-01-25,1.4150075912475586
2010-02-01,1.3926994800567627
2010-02-08,1.3654673099517822
2010-02-15,1.3603036403656006
2010-02-22,1.3605626821517944
2010-03-01,1.356208086013794
2010-03-08,1.3616927862167358
2010-03-15,1.3677457571029663
2010-03-22,1.356704831123352
2010-03-29,1.3481086492538452
2010-04-05,1.34890878200531
2010-04-12,1.3596007823944092
2010-04-19,1.348726749420166
2010-04-26,1.3401232957839966
2010-05-03,1.3199926614761353
2010-05-10,1.2779226303100586
2010-05-17,1.2392956018447876
2010-05-24,1.234994888305664
2010-05-31,1.2287880182266235
2010-06-07,1.1922929286956787
2010-06-14,1.2218068838119507
2010-06-21,1.2316029071807861
2010-06-28,1.2277017831802368
2010-07-05,1.2536983489990234
2010-07-12,1.2590018510818481
2010-07-19,1.2939456701278687
2010-07-26,1.299899935722351
2010-08-02,1.3175925016403198
2010-08-09,1.3285682201385498
2010-08-16,1.277090311050415
2010-08-23,1.2710033655166626
2010-08-30,1.2753963470458984
2010-09-06,1.28940749168396
2010-09-13,1.2716983556747437
2010-09-20,1.3043931722640991
2010-09-27,1.3479087352752686
2010-10-04,1.377695083618164
2010-10-11,1.3977607488632202
2010-10-18,1.3964334726333618
2010-10-25,1.3944084644317627
2010-11-01,1.397506833076477
2010-11-08,1.407578468322754
2010-11-15,1.3693190813064575
2010-11-22,1.3744381666183472
2010-11-29,1.3238019943237305
2010-12-06,1.341597557067871
2010-12-13,1.319713830947876
2010-12-20,1.3164995908737183
2010-12-27,1.3079760074615479
2011-01-03,1.3357912302017212
2011-01-10,1.289507269859314
2011-01-17,1.3380253314971924
2011-01-24,1.361952543258667
2011-01-31,1.3572757244110107
2011-02-07,1.357496738433838
2011-02-14,1.3510043621063232
2011-02-21,1.3713470697402954
2011-02-28,1.373437762260437
2011-03-07,1.3990709781646729
2011-03-14,1.3934563398361206
2011-03-21,1.4170527458190918
2011-03-28,1.402603268623352
2011-04-04,1.4223334789276123
2011-04-11,1.446215271949768
2011-04-18,1.4412959814071655
2011-04-25,1.4557099342346191
